wallet,ei_seller,ei_buyer
0xb5234782cb53acaa16b8ab9a91a570f2866a3431,4,790
0x1d5c30676ca03adae00257568b830c8d424a1e53,5,339
0x41308f0538d32dae052e3524c82f47eae2e560f1,8,926
0xb6ad42d615759e50c8087849a2f6f0e2032f7085,13,663
0x10b1b1baf85af1e07adeaff36c135ecb66df3ca0,14,3982
0x3ecd187d0b6651c27d32a2c85c4bcd7f4dc77bdd,16,1026
0x891f0e015ba7d57c56380ad8b5faca58f1c73072,22,640
0xd543a0be0684f0556786586b83f4c9fd16a4dc35,27,654
0x313206afcc9d645f5fdc35b6d60f1acd019de21a,28,737
0x8492abe1c9918d5df6c4fe39afa9803e52e4698b,29,779
0x4886404ecfb86b759b27867afb0f64172eea1c53,30,1093
0xce086361f6ab2780252a7a4bb2f0cbbabf256c36,39,939
0x613b909325e0f7bf25beefb6254187f6d9ec7309,40,552
0x5eda42ebd6172c7c18247c46842ac95601c3eb29,41,2062
0x8ba0e3524824571cae32dd35709136e0e7e39d61,42,1321
0x35632b6976b5b6ec3f8d700fabb7e1e0499c1bfa,48,1254
0xe1ad3c6fca0a8b7e14371da21011fbb95793c9e1,49,963
0x9097e14e78c82f2bd022c315987172705913fd9c,51,767
0x05d38c71f039a474b2aad91d471702c4793a9604,52,942
0xe279654485397d57fcd78bf90c3e9f6d81cad3e8,58,974
0x67cff0c81516659627079fa07d61c066c5ae2f60,60,1376
0x1ba2a537a771aa4eac2f18427716557e4e744864,62,2277
0x12e0c5e484ea663e567ad4c20f71ae58b23175c8,64,965
0x37128285f51631d8178d18a939c3552e5fcf89cf,68,870
0x8de12bca6a79caf05ded82308f5b35ea9e230f17,69,1003
0xedc915f8b2d423ab78835d3e9543489b173fb5ab,70,2340
0xfc624f8f58db41bdb95aedee1de3c1cf047105f1,73,1179
0xcef301c79f24c47e73dc566de730262d9192cdd7,75,873
0x24d8c3276d7ebd67d384ca263145a02544fa440e,77,1331
0x13cb8bc91af22312d108527d770231550d99c4ea,83,5020
0xc3c992dc7a55d26c0d59783eb1ab6509c180069e,84,1419
0x7002ca1fbab693938c0ae283a48703dc8f1d85ac,85,1083
0x6bacf5748dd8ff3653c22ec7950efcbd2b852601,87,5489
0xd2a0d0566c12acef908aa3a232c27324b68f296c,88,1953
0x6b347a82fcac4e6a38d1fc40e3631bd8f9495e9f,89,3504
0x95ba1afdcf255d801804b6307100ccfc334e9e28,94,832
