,Seller_address,Buyer_address,Unique_id_collection
39,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xf7ee6c2f811b52c72efd167a1bb3f4adaa1e0f89,"('Godsunchained', '105062737.0')"
40,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x76ab14edc42c86c33b17722dc75f5d881e21135f,"('Godsunchained', '42840669.0')"
41,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x91c20ef6477c4ff9cfecc48861e56c0da1dd37fd,"('Godsunchained', '17128731.0')"
42,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0c6fc5083f7f4ec4a3b2de37ccef88a72b64fa1a,"('Godsunchained', '48501414.0')"
43,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x05bd458b7c3fdbd6e1fb151bace8807e3935f061,"('Godsunchained', '12187531.0')"
44,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xe3324cbacdc2dac1aeec60e70c831591e43da70c,"('Godsunchained', '6951816.0')"
45,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x61603b1cbed9879045e02ffcf17f8a0148d76f4c,"('Godsunchained', '88958612.0')"
46,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x69b4f1d198783baca5da8bb69f4447514ffa26df,"('Godsunchained', '38649669.0')"
47,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x2d55c157db17267ccda852b749f3244404139ba5,"('Godsunchained', '47015156.0')"
48,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x05bd458b7c3fdbd6e1fb151bace8807e3935f061,"('Godsunchained', '116996286.0')"
49,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x76ab14edc42c86c33b17722dc75f5d881e21135f,"('Godsunchained', '2328119.0')"
50,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x61603b1cbed9879045e02ffcf17f8a0148d76f4c,"('Godsunchained', '88662124.0')"
51,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x63442e263b3baa7a8527687fc2121e58c82c6a8d,"('Godsunchained', '127215451.0')"
52,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x1b3f0fd412309baf6f107320ec1523226ae212bd,"('Godsunchained', '47838448.0')"
53,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x1f9ce9fe712c857128ee684f3c06ceb0c13a40fe,"('Godsunchained', '114479013.0')"
54,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x69ff9e437a094ff91d5c6524de4ff35938904df3,"('Godsunchained', '111851980.0')"
55,0xb04239b53806ab31141e6cd47c63fb3480cac908,0xc84b3d78612caea8ee2c7c9aac00b539fededfef,"('Godsunchained', '124588360.0')"
56,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x9680f3957510cf85751a096c2194520c36a4a003,"('Godsunchained', '16148037.0')"
57,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x918453d249a22b6a8535c81e21f7530cd6ab59f1,"('Godsunchained', '111937277.0')"
58,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xd81be2dd1fe5e3f9aada3ffea6d64e62506edacc,"('Godsunchained', '12490138.0')"
59,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x8a62faf12efec9324bdd6ebf37cb3242398dc62d,"('Godsunchained', '122250396.0')"
60,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x64513302e42194fd657800d83a481b603a1647f2,"('Godsunchained', '122939535.0')"
61,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x6c8eff2ca9017baeffa29f9a8924530abd26647f,"('Godsunchained', '48146095.0')"
62,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x1ba5d534403bdb4a2984d40d1072d4bf5eede7df,"('Godsunchained', '122939533.0')"
63,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x6c8eff2ca9017baeffa29f9a8924530abd26647f,"('Godsunchained', '32961357.0')"
64,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xf7ee6c2f811b52c72efd167a1bb3f4adaa1e0f89,"('Godsunchained', '42646729.0')"
65,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xd4bf218d419205d8ff0c4f3c4a417b6449e28d40,"('Godsunchained', '40980312.0')"
66,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xf7ee6c2f811b52c72efd167a1bb3f4adaa1e0f89,"('Godsunchained', '12253779.0')"
67,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xa80fa0200332ad2c5fd0612f0b4f09c387d94e77,"('Godsunchained', '12201223.0')"
68,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xf7ee6c2f811b52c72efd167a1bb3f4adaa1e0f89,"('Godsunchained', '40938984.0')"
69,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x68897d280ea3849676e3d4f075430d957648dde8,"('Godsunchained', '120751622.0')"
70,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xb241fdbee4b2b9c56a6e222a73093bbd3e7a0717,"('Godsunchained', '91530799.0')"
71,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x05e43d3587ac37aa3aa595d48d22c719e527d026,"('Godsunchained', '16858535.0')"
72,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x64513302e42194fd657800d83a481b603a1647f2,"('Godsunchained', '120711669.0')"
73,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xf7ee6c2f811b52c72efd167a1bb3f4adaa1e0f89,"('Godsunchained', '53405384.0')"
74,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x74860c8b64da246bbf9e0f5debecdd8f600352ba,"('Godsunchained', '14042530.0')"
75,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xad0870d7b0744c75dfa5cc0285bf744434d1bc31,"('Godsunchained', '12089923.0')"
76,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xd17bb416683288b784aba9a5f8b5fc8aa60b0a0b,"('Godsunchained', '59330005.0')"
77,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x837ed29de4cab664c550b721bf26dfc028ef6689,"('Godsunchained', '120712881.0')"
78,0xb04239b53806ab31141e6cd47c63fb3480cac908,0x3375b75ad4428b13fe7a31113ba87226972ee4bb,"('Godsunchained', '26489959.0')"
79,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x64513302e42194fd657800d83a481b603a1647f2,"('Godsunchained', '90556225.0')"
80,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xe19bf4539726b6dec7be6fba9ff1245e40f50311,"('Godsunchained', '81251213.0')"
