Art,Collectible,Games,Metaverse,Other,Utility
0,0,32,0,0,0
0,0,2,0,0,0
0,0,48,0,0,0
0,0,22,0,0,0
0,0,5,0,0,0
0,0,6,0,0,0
0,0,11,0,0,0
1,0,7,0,0,0
0,0,471,0,0,0
0,0,16,0,0,0
0,0,2,0,0,0
0,0,75,0,0,0
0,0,2,0,0,0
0,0,182,0,0,0
0,0,32,0,0,0
0,0,16,0,0,0
1,0,23,0,0,0
0,0,9,0,0,0
0,0,72,0,0,0
0,0,3,0,0,0
0,0,82,0,0,0
0,0,33,0,0,0
0,0,47,0,0,0
3,0,71,0,0,0
0,0,169,0,0,0
0,0,25,0,0,0
0,0,16,0,0,0
0,0,501,0,0,0
0,0,80,0,0,0
0,0,2,0,0,0
4,0,204,0,0,0
0,0,498,0,0,0
38,8,2,3,8,0
0,0,14,0,1,0
4,0,18,0,0,0
0,0,12,0,0,0
6,0,7,0,0,0
0,0,7,0,0,0
0,0,2,1,0,0
0,0,28,0,0,0
0,0,53,0,0,0
0,0,120,0,0,0
1,0,9,0,0,0
0,0,2,0,0,0
0,0,40,0,0,0
0,0,49,0,0,0
0,0,61,0,0,0
0,0,344,0,0,0
0,0,10,0,0,0
0,0,57,0,0,0
0,0,256,0,0,0
0,0,50,0,0,0
0,0,20,0,0,0
1,0,163,0,0,0
0,0,5,0,0,0
0,0,14,0,0,0
0,0,18,0,0,0
0,0,53,1,0,0
0,0,206,0,0,0
0,0,205,0,0,0
0,0,4,0,0,0
0,0,139,0,0,0
0,0,7,0,0,0
0,0,57,0,0,0
0,0,14,0,0,0
0,0,37,0,0,0
0,0,2,0,0,0
0,0,25,0,0,0
0,0,2,0,0,0
0,0,10,0,0,0
0,0,14,0,0,0
0,0,29,0,0,0
0,0,28,0,0,0
0,0,28,0,0,0
0,0,84,0,0,0
2,0,13,0,0,0
2,1,67,0,4,0
0,0,3,0,0,0
0,0,17,0,0,0
0,0,43,0,0,0
0,0,3,0,0,0
0,0,9,0,0,0
0,0,43,0,0,0
0,0,2,0,0,0
0,0,32,0,0,0
5,0,44,0,1,0
0,0,3,0,0,0
0,0,114,0,0,0
0,0,17,0,0,0
0,0,33,0,0,0
0,0,7,0,0,0
0,0,46,4,0,0
0,0,6,0,0,0
0,0,15,0,0,0
0,0,2,0,0,0
62,0,43,0,8,0
1,0,4,0,0,0
0,0,33,0,0,0
0,0,2,0,0,0
0,0,12,0,0,0
0,0,19,0,0,0
0,0,3,0,0,0
0,0,72,0,13,0
0,0,2,0,0,0
1,0,2,0,0,0
6,0,4,0,0,0
0,0,11,0,0,0
0,0,17,0,0,0
0,0,4,0,0,0
0,0,23,0,0,0
0,0,13,0,0,0
0,0,26,0,0,0
0,0,5,0,0,0
0,0,4,0,0,0
1,0,9,0,0,0
0,0,5,0,0,0
0,0,4,0,0,0
0,0,14,0,0,2
7,0,53,0,0,0
0,0,16,0,0,0
0,0,9,0,0,0
0,0,14,0,0,0
0,0,44,0,0,0
0,0,4,0,0,0
0,0,26,0,0,0
0,0,2,0,0,0
0,0,26,0,0,0
0,0,8,0,0,0
0,0,8,0,0,0
0,0,11,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,10,0,0,0
10,0,153,0,0,0
0,0,6,0,0,0
0,0,8,0,0,0
0,0,7,0,0,0
1,0,11,0,0,0
7,0,11,0,1,0
0,0,7,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
1,0,4,2,1,0
0,0,11,0,0,0
0,0,8,0,0,0
1,0,2,0,1,0
0,0,4,8,0,0
0,0,7,0,0,0
0,0,12,0,0,0
0,0,21,0,0,0
0,0,4,0,0,0
0,0,6,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,15,0,0,0
0,0,4,0,0,0
19,0,4,0,0,0
0,0,12,0,1,0
0,0,12,0,0,0
0,0,37,0,0,0
0,0,3,0,0,0
0,0,21,0,0,0
0,0,38,0,0,0
2,0,2,0,0,0
0,0,20,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,5,0,0,0
0,0,43,0,0,0
0,0,5,0,0,0
0,0,11,0,0,0
0,0,2,0,0,0
0,0,8,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
40,0,5,1,0,0
0,0,6,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,17,0,0,0
0,0,4,0,0,0
0,0,6,0,0,0
0,0,5,7,0,0
0,0,3,0,0,0
0,0,74,0,0,0
0,0,35,0,0,0
0,0,17,0,0,0
0,0,2,0,0,0
0,0,95,0,0,0
0,0,24,0,0,0
0,0,60,0,0,0
0,0,40,0,0,0
0,0,18,0,0,0
9,0,22,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,5,0,0,0
0,0,4,0,0,0
0,0,21,0,0,0
14,0,30,0,0,0
0,0,2,0,0,0
8,0,11,0,0,0
0,0,2,0,0,0
0,0,13,0,0,0
0,0,7,0,0,0
0,0,48,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,6,0,0,0
0,0,6,0,0,0
0,0,2,0,0,0
0,0,2,1,0,0
0,0,13,0,0,0
0,0,24,0,0,0
0,0,16,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
3,0,25,0,0,0
0,0,6,0,0,0
0,1,12,2,0,0
0,0,12,0,0,0
0,0,15,0,0,0
0,0,2,0,0,0
3,0,3,0,0,0
0,0,43,0,0,0
0,0,2,0,0,0
0,0,13,0,0,0
0,0,2,0,1,0
0,0,2,0,0,0
3,1,7,0,0,0
0,0,2,0,0,0
0,0,35,0,0,0
2,0,2,2,0,0
7,0,0,0,1,0
184,0,0,0,0,0
28,0,0,0,1,0
1168,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
26,0,0,0,0,0
9,0,0,0,0,0
2,10,0,0,2,0
46,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
6,4,0,0,0,0
6,0,0,0,0,0
64,0,0,0,0,0
1,0,0,0,0,0
10,0,0,0,0,0
6,0,0,0,0,0
23,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
117,0,0,0,0,0
24,0,0,0,0,0
4,0,0,0,0,0
7,0,0,0,0,0
30,0,0,3,0,0
3,0,0,0,0,0
13,0,0,0,0,0
29,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
10,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
15,0,0,0,1,1
7,0,0,0,0,0
15,0,0,0,0,0
8,0,0,0,0,0
41,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
20,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
7,0,0,0,0,0
40,0,0,2,1,0
334,0,0,0,0,0
1,0,0,0,0,0
6,0,0,2,0,0
27,1,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
13,0,0,0,0,0
2,0,0,0,0,0
28,131,8,2,0,0
1,0,0,0,0,0
1066,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
23,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
143,1,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,9,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
24,0,0,0,2,0
2,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
32,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
139,7,0,16,10,0
32,0,0,0,0,0
1,0,0,0,0,0
61,0,0,0,8,0
1,0,0,0,0,0
1,0,0,0,0,0
16,0,1,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,5,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
11,0,0,0,0,0
1,0,0,0,0,0
10,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
124,5,0,0,2,0
10,0,0,2,0,0
19,0,0,0,0,0
38,0,0,9,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
63,0,5,0,11,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
72,1,0,2,5,0
1,0,0,0,0,0
76,0,0,0,0,0
7,0,0,0,0,0
49,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
157,0,0,0,0,0
4,0,0,0,0,0
9,0,0,0,0,0
1,0,0,0,0,0
7,0,0,0,0,0
15,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
42,0,1,0,3,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
11,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
121,0,0,0,0,0
2,0,0,0,0,0
29,0,4,2,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
6,0,0,0,0,0
3,0,0,0,0,0
4,0,0,3,1,0
2,0,0,0,0,0
1,1,0,0,0,0
1,0,0,0,0,0
30,0,0,0,0,0
1,0,7,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
6,0,0,0,0,0
8,0,0,0,0,0
4,0,0,0,0,0
23,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
32,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,1,0
1,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
9,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
18,0,0,0,0,0
1,0,0,0,0,0
45,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,3,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
18,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
11,0,0,0,0,0
41,0,9,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,1,0,0,0
5,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
11,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
33,0,0,0,5,0
1,0,0,0,0,0
2,0,0,0,0,0
12,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
7,0,0,1,1,1
2,0,0,0,0,0
58,0,8,3,5,0
56,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
2,0,4,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
38,0,0,0,0,0
