Art,Collectible,Games,Metaverse,Other,Utility
0,0,5343,0,0,0
0,0,272,0,0,0
0,0,926,0,0,0
0,0,10,0,0,0
14,0,0,0,0,0
4,0,0,0,0,0
247,0,0,0,0,0
80,0,0,0,0,0
14,0,0,0,0,0
179,0,0,0,0,0
7,0,0,0,0,0
182,0,0,0,0,0
2,0,0,0,0,0
32,0,0,0,0,0
631,0,0,0,0,0
1,0,0,0,0,0
200,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
57,0,0,0,0,0
277,2,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
26,0,0,0,0,0
35,0,0,0,0,0
103,0,0,0,0,0
5,0,0,0,0,0
3,0,0,0,0,0
46,0,0,0,0,0
1,0,0,0,0,0
129,0,0,0,0,0
19,0,0,0,0,0
54,0,3,0,0,0
1,0,0,0,0,0
24,0,0,0,0,0
20,0,0,0,2,0
190,0,0,0,0,0
1,0,0,0,0,0
554,0,0,0,0,0
19,0,0,0,0,0
6,0,0,0,0,0
54,0,0,0,0,0
652,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
4,0,3,0,0,0
15,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
133,0,0,0,0,0
33,0,0,0,0,0
168,0,0,3,0,0
6,0,0,0,0,0
86,0,0,0,0,0
56,8,0,0,0,0
32,0,0,0,0,0
90,0,0,0,0,0
694,0,0,0,0,0
221,0,0,0,0,0
32,0,0,0,0,0
3,0,0,0,0,0
27,0,0,0,0,0
2,0,0,0,0,0
94,0,0,0,0,0
55,5,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
28,0,0,0,0,0
44,0,0,0,0,0
68,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
42,0,0,0,0,0
20,0,0,0,0,0
1,0,0,0,0,0
10,0,0,0,0,0
2,0,0,0,0,0
42,0,2,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
9,0,0,0,0,0
6,0,0,0,0,0
3,0,0,0,0,0
24,1,3,0,0,0
12,0,0,0,0,0
171,0,1,5,0,0
1,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
8,0,1,0,0,0
1,0,0,0,0,0
88,0,0,0,0,0
27,0,0,0,0,0
1,0,0,0,0,0
61,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,1,0
36,0,0,0,0,0
8,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
7,0,0,0,0,0
1,0,0,0,0,0
