Art,Collectible,Games,Metaverse,Other,Utility
0,0,8694,0,0,0
0,0,759,0,0,0
0,0,550,0,0,0
322,0,0,0,0,0
6,0,0,0,0,0
223,0,13,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
137,0,0,1,0,0
2,0,0,0,0,0
536,0,0,0,0,0
26,0,0,0,0,0
124,2,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
140,0,0,0,0,0
11,0,0,0,0,0
64,0,0,0,0,0
163,0,0,0,0,0
102,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
6,0,0,25,0,0
417,0,0,0,0,0
453,0,0,0,0,0
2,0,0,0,0,0
106,0,0,0,0,0
84,0,0,0,0,0
14,0,0,0,0,0
12,0,0,0,0,0
38,0,0,0,0,0
74,0,0,0,0,0
2,0,0,0,0,0
440,0,0,0,0,0
30,0,0,0,0,0
120,0,0,0,0,0
3,0,0,0,0,0
151,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
323,0,2,32,0,0
429,0,0,0,0,0
4,0,0,0,0,0
164,0,0,0,0,0
102,0,0,0,0,0
35,0,0,0,0,0
1,0,0,0,0,0
10,0,0,0,0,0
37,0,1,0,0,0
3,0,0,0,0,0
917,0,0,0,0,0
8,0,0,0,0,0
4,0,0,0,0,0
2,0,0,9,0,0
5,0,0,0,0,0
3,0,0,0,0,0
627,0,0,0,0,0
56,0,0,0,0,0
31,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
3,0,0,0,0,0
12,0,0,7,0,0
4,0,0,0,0,0
42,0,0,0,0,0
7,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
595,0,0,0,0,0
41,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
850,0,5,0,1,0
13,0,0,0,0,0
3,0,0,0,0,0
1,0,0,5,0,0
2,0,0,0,0,0
2,0,0,16,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
57,4,0,0,0,0
77,0,1,0,0,0
27,0,0,0,0,0
5,0,0,0,0,0
2,0,0,0,0,0
6,0,0,4,0,0
3,0,0,77,0,0
3,0,8,50,1,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
13,0,0,0,0,0
17,0,2,0,0,0
9,0,0,0,0,0
14,0,0,0,0,0
51,8,0,0,0,0
78,0,22,0,0,0
3,0,0,20,0,0
61,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
20,0,0,0,0,0
2,0,0,0,0,0
192,0,0,0,0,0
6,0,0,0,0,0
6,0,0,5,0,0
1,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
321,0,41,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
