Art,Collectible,Games,Metaverse,Other,Utility
0,0,8788,0,0,0
0,0,764,0,0,0
0,0,550,0,0,0
322,0,0,0,0,0
4,0,0,0,0,0
19,0,11,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
108,0,0,0,0,0
2,0,0,0,0,0
536,0,0,0,0,0
26,0,0,0,0,0
124,2,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
140,0,0,0,0,0
6,0,0,0,0,0
64,0,0,0,0,0
163,0,0,0,0,0
102,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
1,0,0,24,0,0
417,0,0,0,0,0
453,0,0,0,0,0
2,0,0,0,0,0
106,0,0,0,0,0
30,0,0,0,0,0
5,0,0,0,0,0
3,0,0,0,0,0
26,0,0,0,0,0
74,0,0,0,0,0
2,0,0,0,0,0
440,0,0,0,0,0
30,0,0,0,0,0
120,0,0,0,0,0
3,0,0,0,0,0
151,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
286,0,0,11,0,0
426,0,0,0,0,0
2,0,0,0,0,0
164,0,0,0,0,0
102,0,0,0,0,0
35,0,0,0,0,0
1,0,0,0,0,0
10,0,0,0,0,0
20,0,0,0,0,0
1,0,0,0,0,0
917,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,9,0,0
5,0,0,0,0,0
3,0,0,0,0,0
627,0,0,0,0,0
56,0,0,0,0,0
17,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
1,0,0,1,0,0
4,0,0,0,0,0
29,0,0,0,0,0
7,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
484,0,0,0,0,0
39,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
845,0,1,0,1,0
13,0,0,0,0,0
1,0,0,0,0,0
1,0,0,5,0,0
2,0,0,0,0,0
2,0,0,16,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
57,4,0,0,0,0
77,0,0,0,0,0
11,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
6,0,0,4,0,0
1,0,0,8,0,0
3,0,7,36,1,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
13,0,0,0,0,0
11,0,2,0,0,0
5,0,0,0,0,0
2,0,0,0,0,0
30,0,0,0,0,0
7,0,0,0,0,0
2,0,0,20,0,0
61,0,0,0,0,0
1,0,0,0,0,0
