Art,Collectible,Games,Metaverse,Other,Utility
0,0,149,0,0,0
0,0,21,0,0,0
3,0,0,0,0,0
12,0,0,0,0,0
8,0,0,0,0,0
23,0,0,0,0,0
14,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
168,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
10,0,0,0,0,0
26,1,0,0,4,0
5,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
32,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
94,0,0,0,0,0
2,0,0,0,0,0
17,1,0,0,3,0
12,0,0,0,0,0
6,0,0,0,0,0
101,87,0,0,6,0
3,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
2,0,0,0,0,0
15,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
19,0,0,0,0,0
1,0,0,0,0,0
33,0,0,0,0,0
15,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
4,7,0,1,7,0
1,0,0,0,0,0
10,0,0,0,0,0
1,0,0,0,0,0
9,0,0,0,0,0
2,0,0,0,0,0
25,14,0,0,9,0
1,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
22,0,0,0,0,0
11,1,0,0,0,0
5,0,0,0,0,0
12,0,0,0,0,0
9,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
7,0,0,0,0,0
9,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
7,0,0,0,0,0
13,0,0,0,0,0
6,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
107,41,4,0,9,0
1,0,0,0,0,0
18,4,0,0,1,0
4,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
14,2,1,2,0,0
3,0,0,0,0,0
38,0,0,0,0,0
13,0,0,0,0,0
135,0,1,0,0,0
168,11,0,1,5,0
3,0,0,0,0,0
5,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
7,0,0,0,0,0
5,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
12,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
2,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
55,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
18,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
16,0,0,0,0,0
1,1,0,2,0,0
10,2,0,2,13,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,1,0,0
2,0,0,1,0,0
0,0,0,2,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,1,27,2,0
0,0,0,24,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,28,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
9,0,0,1,0,0
0,0,0,3,0,0
0,3,0,1,0,1
0,0,0,9,0,0
0,0,0,8,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,6,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,1,1,0
0,0,0,5,0,0
1,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,1,0,0
1,1,0,3,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,3,0,0
0,0,0,4,0,0
0,0,0,17,0,0
5,0,0,1,0,0
0,0,0,1,0,0
0,0,0,5,0,0
0,0,0,4,0,0
0,0,0,6,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,4,2,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,5,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,5,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,1,0,6,6,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,1,0,0
1,0,0,3,0,0
0,0,0,4,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,6,0,0
0,0,0,1,0,0
0,0,0,5,0,0
6,2,1,2,2,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,6,0,0
0,0,0,1,0,0
0,0,0,5,0,0
0,0,7,2,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,2,0,6,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,3,0,0
1,0,0,1,0,0
0,0,0,2,0,0
0,0,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
9,8,1,158,35,1
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,10,0,0,0,0
0,5,0,0,0,0
20,0,0,0,18,0
0,0,1,0,0,0
0,0,0,0,53,0
3,0,0,0,0,0
0,0,4,0,0,0
99,0,0,0,0,0
0,0,0,0,4,0
1,54,7,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
98,7,0,0,2,0
6,0,0,0,0,0
37,4,0,0,6,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
9,0,0,0,25,0
0,1572,0,0,0,0
0,5,0,0,0,0
0,18,0,0,0,0
0,7,0,0,0,0
0,14495,0,0,0,0
29,0,10,3,3,0
0,0,1,0,0,0
0,0,0,0,2,0
40,4,0,0,13,0
1,0,0,0,1,0
0,0,45,0,0,0
4,1,1,0,0,0
14,0,0,0,100,0
1,0,0,0,0,0
8,0,0,0,0,0
319,0,0,0,1,0
40,5,0,0,10,0
0,25,0,0,0,0
0,4,0,0,0,0
0,133,0,0,0,0
0,1,0,0,0,0
0,22,0,0,0,0
