Art,Collectible,Games,Metaverse,Other,Utility
0,0,4571,0,0,0
0,0,892,0,0,0
0,0,62866,0,0,0
110,0,0,0,0,0
5,0,0,0,0,0
417,0,0,0,0,0
106,0,0,0,0,0
43,0,0,0,0,0
2,0,0,0,0,0
62,0,0,0,0,0
11,0,0,0,0,0
6,0,0,0,0,0
411,0,0,0,0,0
3,0,0,0,0,0
20,0,6,0,0,0
7,0,0,0,0,0
250,0,112,0,0,0
48,0,0,0,0,0
43,0,3,0,0,0
2,0,2,0,0,0
134,0,3,0,0,0
718,0,0,0,0,0
42,0,0,0,0,0
69,0,0,0,0,0
16,0,0,0,0,0
84,3,0,0,0,0
5,0,0,0,0,0
63,0,0,0,0,0
183,0,58,0,0,0
221,0,0,0,0,0
44,0,0,0,0,0
157,0,0,0,0,0
86,0,0,0,0,0
124,0,0,0,0,0
39,0,0,0,0,0
78,0,0,0,0,0
122,0,1149,0,0,0
110,0,0,0,0,0
58,0,0,0,0,0
290,0,883,0,0,0
1,0,0,0,0,0
7,0,0,0,0,0
173,0,0,0,0,0
6,0,0,0,0,0
214,0,0,0,0,0
2,0,0,0,0,0
42,0,0,0,0,0
48,2,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
74,0,3,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
43,12,1,0,0,0
5,0,0,0,0,0
20,1,0,0,0,0
211,0,0,0,0,0
144,0,10,0,0,0
8,0,0,0,0,0
146,0,0,0,0,0
35,0,0,0,0,0
33,0,0,0,0,0
977,0,0,0,0,0
5,0,0,0,0,0
41,0,0,0,0,0
3,0,0,0,0,0
6,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
25,0,0,0,0,0
1,0,0,0,0,0
17,0,9,2,0,0
13,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
523,0,1,0,0,0
6,0,0,0,0,0
4,0,0,0,0,0
16,40,71,23,37,0
34,0,0,0,0,0
12,0,0,0,0,0
50,0,0,0,0,0
23,0,0,0,0,0
108,0,0,0,0,0
13,0,0,0,0,0
10,0,0,0,0,0
3,0,0,0,0,0
1,0,18,2,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
9,0,0,0,0,0
1,0,0,0,0,0
414,0,0,0,0,0
63,0,0,0,0,0
12,0,0,0,0,0
461,0,0,0,0,0
4,0,0,0,0,0
391,0,0,0,0,0
45,0,1,0,0,0
39,0,0,0,0,0
34,0,0,0,0,0
489,0,0,0,0,0
21,0,0,0,0,0
11,0,0,0,0,0
53,0,0,0,0,0
66,0,0,0,0,0
7,0,0,0,0,0
50,0,0,0,0,0
4,0,0,0,0,0
42,0,0,0,0,0
19,0,0,0,0,0
9,0,0,0,0,0
1,0,0,0,0,0
407,0,0,0,0,0
15,1,4,0,0,0
39,0,0,0,0,0
9,0,0,0,0,0
1,0,0,0,0,0
32,0,0,0,0,0
26,0,0,0,0,0
3,0,0,0,0,0
42,0,0,0,0,0
155,0,0,0,0,0
82,0,0,0,0,0
16,0,0,3,1,0
9,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
