wallet,ei_seller,ei_buyer
0x41308f0538d32dae052e3524c82f47eae2e560f1,4,308
0xebe0ae55eb93aa2e1689403b0ef15b969b6523b6,5,1752
0x6359ef876d6f82f669709950bb2c8e19b8e82481,6,161
0xc003c0b59f5ae81cadc62b2b779594ba41ba5043,15,2306
0x1d5c30676ca03adae00257568b830c8d424a1e53,20,78
0x37eeda31444a5f4645b6fc241624fa490c5d95e7,22,3948
0xc49f989967f4f03fcaba2a588358ef44ce6f033a,23,81
0x7406c749e583a479b56bf8e272964bedec9c4908,26,2125
0x2646de5603ec6b257f73d7857659261ff05bca2d,31,4725
0x4da725d81911dc6b452a79eacbe8e2df7ab4ca49,39,118
0xbe9d3318c0c9cf238cd808cd7113d9c1fd823ff4,40,4144
0x35a214b13c9e223b8d511f343ac8fa94293233a1,44,194
0x5289cbf7afa41e192af2f86d35e7e537f71e2977,54,4268
0x16a83269c09d3c1c49fb4ec9add5227027e706ec,55,140
0x6ce142f33e2e0b2e83b34eb5dae0367769205b42,57,130
0x27cc1c802dc1b428455b3f4e2168bbc123416429,60,5208
0x25f15d79487288cbcca6811b8148069ed581d992,65,7085
0x499c9c826a356f72926a258afa63bcdb4df33702,70,11208
0x16205a6048b6af17f1ac1a009bbf2ed9289e6921,84,7325
0xbce3bd3b206946abbe094903ae2b4244b52fb4e9,93,7344
0x8c57ef5a7772d48721c019447abdf9cb48553308,96,7184
0x3e5f7e4eb00fe3c12cd275421779802d1205c81b,99,7426
0xd68c2b3086f9d0e278b0e0aea23ed361fa7c28e1,102,10516
0xcd0b3ad54ff89f5aaf3497874b9f18a91b0889ae,105,1019
0x1ca6d9205092a1f0a20144c11279b73144118aa1,108,7598
0xd259bda3b6a5cd2957eb1c0f8e6f95045066750a,112,7735
0x917b9c157179fb655216b417717674509896dcce,115,259
0x52d48527c9fe8ba22fdfac28a9cd876fa6f3eea5,116,7935
0x809d67857fb177ce93517a8150082048fb4581d7,124,8128
0x15452260f0bf2cb72b923d5ae5c644792b4b99e9,125,8230
0xc35a5fec6be6957899e15559be252db882220b37,127,258
0x972e633f5f6f62d1f2a13977f113941fcb3b606b,137,9597
0x9205780d9ad377abc3b5c393a0853b344f116cdb,139,269
0x2daf46ea988c806ce1991bfadded429efc0f1e9f,141,9354
0xfa1c022f5aa019077a480a710927ab56d6eee640,142,214
0xe173e8feef31aa143218810087ff6a1a8166e537,154,9442
