Art,Collectible,Games,Metaverse,Other,Utility
0,0,7317,0,0,0
0,0,1176,0,0,0
0,0,616,0,0,0
0,0,1,0,0,0
170,0,0,0,0,0
70,0,0,0,0,0
163,0,0,0,0,0
7,0,0,0,0,0
6,0,0,0,0,0
83,0,0,0,0,0
677,0,0,0,0,0
25,0,0,0,0,0
27,0,0,0,0,0
6,0,0,0,0,0
174,0,0,0,0,0
7,0,0,0,0,0
90,0,0,0,0,0
19,0,0,0,0,0
2,0,0,0,0,0
84,0,1,1,0,0
79,0,0,0,0,0
20,0,0,0,0,0
43,0,1,0,0,0
11,0,0,0,0,0
7,0,0,0,0,0
1,0,0,0,0,0
18,0,0,0,0,0
8,0,0,0,0,0
63,0,0,0,0,0
607,0,0,0,0,0
28,0,0,3,0,0
737,0,0,0,0,0
6,0,0,0,0,0
3,0,0,0,0,0
254,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
57,0,0,0,0,0
619,0,0,0,0,0
43,0,0,0,0,0
2,0,0,0,0,0
1851,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
156,0,3,0,0,0
170,0,0,0,0,0
12,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
42,0,0,3,0,0
67,0,0,0,0,0
173,0,0,0,0,0
12,0,0,0,0,0
276,0,0,0,0,0
37,0,0,0,0,0
203,0,0,0,0,0
2,0,0,0,0,0
139,0,0,0,0,0
2,0,0,0,0,0
134,0,0,0,0,0
2,1,0,0,0,0
72,0,0,0,0,0
105,0,0,0,0,0
1,0,0,1,0,0
215,0,0,0,0,0
5,0,0,0,0,0
3,0,0,0,0,0
19,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
15,0,0,0,0,0
2,0,4,0,0,0
119,0,0,0,0,0
10,0,0,0,0,0
60,0,0,0,0,0
16,0,3,0,0,0
96,0,0,0,0,0
7,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
50,0,0,0,0,0
1,0,0,0,0,0
10,0,0,0,0,0
29,0,62,0,0,0
15,0,0,0,0,0
8,0,1,234,0,0
41,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
38,8,0,0,0,0
421,0,0,0,0,0
19,0,0,0,0,0
65,0,0,0,0,0
68,0,0,0,0,0
5,0,1,0,0,0
7,0,0,0,0,0
80,0,0,0,0,0
1,0,0,0,0,0
21,0,0,0,0,0
18,0,0,0,0,0
5,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
7,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
95,0,0,0,0,0
25,0,0,0,0,0
13,0,0,0,0,0
1,0,0,0,0,0
734,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
35,0,0,0,0,0
5,0,0,0,0,0
5,0,0,0,0,0
39,0,0,0,0,0
10,0,0,0,0,0
2,0,0,0,0,0
112,0,0,0,0,0
12,0,0,0,0,0
1,0,0,0,0,0
92,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
2,0,0,5,0,0
2,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
6,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
49,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
8,0,0,0,0,0
1,0,2,0,0,0
4,0,0,0,0,0
92,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
24,0,0,0,0,0
36,0,3,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
14,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
12,0,0,0,0,0
1,0,0,0,0,0
15,0,0,0,0,0
11,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1361,0,3,0,0,0
7,0,0,0,0,0
16,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
3,0,0,0,0,0
1,0,4,0,0,0
1,0,0,0,0,0
3,0,1,0,8,0
8,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
55,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
7,0,0,0,0,0
3,0,0,0,0,0
6,0,0,0,0,0
15,0,0,0,0,0
19,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
5,0,0,1,0,0
3,0,0,0,0,0
14,0,0,0,0,0
6,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
15,0,0,0,0,0
5,0,18,0,0,0
5,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
4,0,0,12,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
9,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
8,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,9,0,0
1,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
13,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
