Art,Collectible,Games,Metaverse,Other,Utility
0,0,5295,0,0,0
0,0,272,0,0,0
0,0,923,0,0,0
0,0,10,0,0,0
17,0,0,0,0,0
4,0,0,0,0,0
247,0,0,0,0,0
80,0,0,0,0,0
14,0,0,0,0,0
178,0,0,0,0,0
7,0,0,0,0,0
182,0,0,0,0,0
2,0,0,0,0,0
42,0,0,0,0,0
631,0,0,0,0,0
1,0,0,0,0,0
200,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
58,0,0,0,0,0
277,2,0,0,0,0
3,0,0,0,0,0
5,0,0,0,0,0
26,0,0,0,0,0
66,0,0,0,0,0
103,0,0,0,0,0
9,0,0,0,0,0
19,0,0,0,0,0
46,0,0,0,0,0
1,0,0,0,0,0
153,0,0,0,0,0
19,0,0,0,0,0
195,0,3,0,0,0
6,0,0,0,0,0
24,0,0,0,0,0
20,0,0,0,2,0
190,0,0,0,0,0
1,0,0,0,0,0
548,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
54,0,0,0,0,0
697,0,0,0,0,0
2,0,123,0,0,0
7,0,0,0,0,0
114,0,0,0,0,0
13,3,3,0,0,0
25,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
133,0,0,0,0,0
33,0,0,0,0,0
214,0,0,3,0,0
6,0,0,0,0,0
303,0,0,0,0,0
73,8,0,0,0,0
32,0,0,0,0,0
90,0,0,0,0,0
809,0,0,0,0,0
221,0,1,0,0,0
32,0,0,0,0,0
3,0,0,0,0,0
27,0,0,0,0,0
2,0,0,0,0,0
94,0,0,0,0,0
55,5,0,0,0,0
3,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
28,0,0,0,0,0
64,0,0,0,0,0
68,0,1,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
42,0,183,0,0,0
24,0,0,0,0,0
3,0,0,0,0,0
13,0,0,0,0,0
3,0,0,0,0,0
55,0,7,0,0,0
2,0,0,0,0,0
9,0,0,0,0,0
101,0,0,0,0,0
6,0,0,0,0,0
5,0,0,0,0,0
25,1,3,0,1,0
12,0,0,0,0,0
185,0,1,12,0,0
10,0,6,0,0,0
3,0,4,0,0,0
2,0,0,0,0,0
16,0,1,0,0,0
6,0,0,0,0,0
147,0,0,0,0,0
27,0,0,0,0,0
8,0,0,0,0,0
122,0,0,0,0,0
1,0,0,0,0,0
27,0,0,0,0,0
3,0,0,0,0,0
8,0,0,0,0,0
6,0,0,0,0,0
3,1,0,0,1,0
36,0,0,0,0,0
47,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
32,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
42,0,0,0,0,0
4,0,281,2,0,1
6,0,0,0,0,0
112,0,0,0,0,0
121,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
12,1,0,0,0,0
107,0,1,1,0,0
4,0,18,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
115,0,0,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
3,0,0,0,0,0
32,0,0,0,0,0
2,0,0,0,0,0
93,0,0,0,0,0
11,0,0,0,0,0
3,0,0,0,0,0
5,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
109,0,0,0,0,0
3,0,0,0,0,0
360,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
23,0,0,0,0,0
1,0,0,0,0,0
24,0,0,0,0,0
9,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
7,0,0,0,0,0
6,0,0,0,0,0
7,3,0,1,0,0
1,0,0,0,0,0
13,1,1,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,1,0
14,0,0,0,0,0
2,0,0,0,0,0
8,0,0,0,0,0
14,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
11,0,0,0,0,0
74,0,0,0,0,0
2829,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
12,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
9,0,0,0,0,0
51,0,56,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
2,0,0,0,0,0
121,0,0,0,0,0
9,0,0,0,0,0
17,14,0,1,0,0
1,0,0,0,0,0
5,0,0,0,0,0
2,0,0,0,0,0
12,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
6,0,0,0,0,0
5,0,0,0,0,0
2,0,274,0,0,0
2,0,0,0,0,0
7,0,4,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
16,1,25,0,0,0
3,0,0,0,0,0
16,0,0,0,0,1
1,0,0,0,0,0
9,0,0,0,0,0
2,0,0,74,0,0
3,0,322,0,0,0
5,0,0,0,0,0
8,0,0,0,0,0
6,0,0,0,0,0
12,0,0,0,0,0
75,0,0,0,0,0
3,0,0,0,0,0
5,0,0,0,0,0
10,0,0,0,0,0
2,0,0,0,0,0
11,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
15,0,0,0,0,0
1,0,0,0,0,0
7,0,0,0,0,0
11,1,0,0,0,0
11,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
12,0,1,0,0,0
7,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
7,0,0,0,0,0
19,0,0,0,0,0
16,0,0,0,0,0
11,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
55,0,0,0,0,0
5,0,0,0,0,0
7,0,0,0,0,0
4,0,0,0,0,0
16,0,0,0,0,0
2,0,0,0,0,0
6,0,0,0,0,0
8,0,0,0,0,0
5,0,0,0,0,0
4,0,0,0,0,0
4,0,0,26,0,0
2,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
6,0,0,0,0,0
23,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
658,0,0,0,0,0
1,0,0,0,0,0
13,78,7,0,8,1
29,0,0,0,0,0
5,0,0,0,0,0
2,0,0,0,0,0
7,0,0,0,0,0
48,12,1,1,0,0
1,0,0,0,0,0
4,0,0,0,0,0
97,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
50,0,0,0,0,0
13,0,0,0,0,0
2,0,0,0,0,0
30,0,2,0,0,0
26,0,0,0,0,0
48,0,0,1,0,0
4,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
52,2,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
79,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
6,0,0,0,0,0
50,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
6,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
12,0,0,0,0,0
1,0,0,0,0,0
23,0,0,0,0,0
5,0,0,0,0,0
15,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
71,0,0,0,0,0
3,0,0,0,0,0
6,0,0,0,0,0
4,0,0,0,0,0
6,0,0,0,0,0
4,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
12,0,0,0,0,0
51,0,151,0,0,0
1,0,1,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
55,0,4,0,0,0
2,0,0,0,0,0
5,0,0,0,0,0
5,0,0,0,0,0
4,0,0,0,0,0
29,0,0,0,0,0
17,0,0,0,0,0
2,0,0,0,0,0
9,0,0,0,0,0
2,0,22,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
115,0,0,0,0,0
1,0,1,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
42,0,0,0,0,0
8,2,2,3,6,0
5,12,19,0,0,0
3,0,0,0,0,0
3,0,3,0,0,0
7,0,0,0,0,0
3,0,0,0,0,0
6,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
14,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
22,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
13,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
0,0,0,1,0,0
0,0,0,6,0,0
0,0,1,7,0,0
0,0,0,2,0,0
11,0,3,22,1,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,4,0,0
0,0,0,2,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,11,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,2,0,0
0,0,0,2,0,0
0,0,0,1,0,0
1,0,0,129,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,5,0,0
0,0,0,18,11,0
0,0,0,2,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,243,0,0
0,0,0,7,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,8,0,0
0,0,0,75,0,0
0,0,0,2,0,0
0,8,66,15,15,0
0,0,0,2,0,0
1,0,4,13,0,0
0,0,0,16,0,1
0,0,0,5,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,118,0,0
0,0,0,1,0,0
0,0,33,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,6,0,0
0,0,1,78,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,61,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,4,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,6,0,0
0,0,0,1,0,0
0,0,0,12,0,0
0,0,0,3,0,0
0,0,0,12,0,0
0,0,876,2,0,0
0,0,0,1,0,0
0,0,0,8,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,4,0,0
0,0,0,4,0,0
0,0,0,1,0,0
0,0,1,2,0,0
0,0,0,2,0,0
0,0,0,21,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,66,0,0
0,0,0,37,0,0
0,0,0,104,0,0
1,0,4,14,0,0
0,0,0,28,0,0
1,1,59,4,2,0
0,0,8,8,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,84,2,0
0,1,0,19,0,0
0,0,0,1,0,0
0,0,0,41,0,0
0,0,0,55,0,0
0,0,0,11,0,0
0,0,0,1,0,0
0,0,0,19,0,0
0,0,0,6,0,0
0,0,1,270,0,0
0,0,0,1,0,0
0,0,0,8,0,0
0,0,29,8,0,0
0,0,0,1,0,0
8,0,0,2,0,0
0,0,0,74,0,0
1,2,8,94,0,0
0,0,0,21,0,0
0,0,0,1,0,0
0,0,0,12,0,0
0,0,0,2,0,0
0,0,0,42,0,0
0,0,0,4,0,0
5,10,0,9,0,0
0,0,0,181,0,0
0,0,0,1,0,0
1,1,6,18,39,0
0,0,6,25,0,0
0,0,0,11,0,0
0,0,0,5,0,0
0,0,0,6,1,0
0,0,0,1,0,0
0,0,0,4,0,0
0,0,0,2,0,0
0,0,0,3,0,0
0,0,0,71,0,0
0,0,0,4,0,0
0,0,0,5,0,0
0,0,0,2,0,0
0,0,0,8,0,0
0,0,0,1,0,0
0,0,0,38,0,0
0,0,0,1,0,0
0,0,0,4,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,6,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,1,0,0
3,2,1,17,0,1
0,0,0,7,0,0
0,0,14,8,0,0
0,0,0,3,0,0
0,0,0,45,0,0
0,0,0,1,0,0
0,0,0,19,0,0
0,0,0,79,0,0
0,0,0,6,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,11,0,0
0,0,0,9,0,0
0,0,2,21,0,0
0,2,0,3,0,0
0,0,0,1,0,0
0,0,0,11,0,0
0,0,0,1,0,0
0,0,0,8,0,0
0,0,0,1,0,0
0,0,0,4,0,0
0,0,0,15,0,0
0,0,0,40,0,0
0,0,0,13,0,0
2,0,0,6,3,6
0,0,0,10,0,0
0,0,0,5,0,0
0,0,0,1,0,0
0,0,0,19,0,0
0,0,0,1,0,0
0,0,0,7,0,0
0,0,0,10,0,0
0,0,2,12,0,0
0,0,0,6,0,0
0,0,0,8,0,0
0,0,0,18,0,0
0,0,0,2,0,0
0,0,0,4,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,10,0,0
0,0,0,10,0,0
0,0,0,18,0,0
0,0,0,4,0,0
0,0,0,1,0,0
0,0,0,4,0,0
0,0,0,2,0,0
0,0,0,4,0,0
0,0,0,7,0,0
0,0,0,1,0,0
0,0,0,4,1,0
0,0,0,3,0,0
0,0,0,16,0,0
0,0,0,18,0,0
0,0,0,22,0,0
0,0,0,11,0,0
0,0,0,1,0,0
0,0,0,53,0,0
0,0,2,3,0,0
0,0,0,1,0,0
0,0,0,9,0,0
0,0,0,2,0,0
0,0,0,2,0,0
0,0,0,2,0,0
0,0,0,3,0,0
0,0,2,11,0,0
0,0,0,1,0,0
1,0,0,1,0,0
0,0,0,4,0,0
0,0,0,2,0,0
0,0,0,4,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,13,1,0
0,0,0,8,0,0
1,0,136,16,0,0
0,0,0,1,0,0
0,0,0,4,0,0
0,0,0,3,0,0
0,0,0,2,0,0
4,3,0,19,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,73,0,0
0,0,0,1,0,0
0,0,1,4,0,0
0,0,0,1,0,0
0,0,0,1,0,0
3,0,0,1,0,0
0,0,0,3,0,0
0,0,0,1,0,0
0,0,0,21,0,0
0,0,0,1,0,0
0,0,0,5,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,6,0,0
0,0,0,2,0,0
0,0,0,1,0,0
0,0,0,7,1,0
0,0,0,3,0,0
0,0,0,3,0,0
438,0,0,0,0,0
4,0,0,0,0,0
0,0,62,0,0,0
0,0,144,0,0,0
0,0,14,0,0,0
50,1,2,0,0,0
11,0,0,0,8,0
0,0,4,0,0,0
0,0,190,0,0,0
0,0,26,0,0,0
0,0,11,0,0,0
0,0,200,0,0,0
0,0,47,0,0,0
45,0,0,0,0,0
11,0,0,0,5,0
0,0,104,3,0,0
0,0,45,0,0,0
0,0,16,0,0,0
0,0,10,0,0,0
0,0,39,0,0,0
0,0,6,0,0,0
0,0,7,0,0,0
0,0,23,0,0,0
0,0,4,0,0,0
0,0,264,0,0,0
0,0,185,0,0,0
0,0,9,0,0,0
0,0,11,0,0,0
0,0,28,0,0,0
10,7,0,1,1,0
0,0,73,0,0,0
0,0,58,0,1,0
0,0,1,0,0,0
2,0,1,0,0,0
0,0,12,0,0,0
10,0,0,0,0,0
0,0,35,0,0,0
0,0,1,0,0,0
0,0,58,0,0,0
1,0,0,0,0,0
0,0,34,0,0,0
0,0,18,0,0,0
0,0,26,0,0,0
0,0,225,0,0,0
0,0,20,0,0,0
0,0,3,0,0,0
0,0,139,0,0,0
0,0,160,0,0,0
0,0,79,0,0,0
0,0,94,0,0,0
0,0,19,0,0,0
0,0,5,0,0,0
0,0,24,0,0,0
27,16,28,8,2,0
0,0,32,0,0,0
0,0,12,0,0,0
2,0,0,0,3,0
0,0,122,0,0,0
0,0,5,0,0,0
0,0,6,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,0,5,0,0
0,0,8,0,0,0
0,0,14,0,0,0
0,0,58,0,0,0
0,0,0,103,0,0
17,0,0,0,0,0
0,0,3,0,0,0
0,0,18,0,0,0
0,0,34,0,0,0
0,0,76,0,0,0
0,0,480,0,0,0
0,0,345,0,0,0
0,0,258,0,0,0
0,0,0,0,2,0
0,0,0,0,2,0
