wallet,ei_seller,ei_buyer
0x613b909325e0f7bf25beefb6254187f6d9ec7309,3,134
0xbce3bd3b206946abbe094903ae2b4244b52fb4e9,7,9426
0x137d9174d3bd00f2153dcc0fe7af712d3876a71e,10,3089
0xd68c2b3086f9d0e278b0e0aea23ed361fa7c28e1,12,507
0xcc353334487696ebc3e15411e0b106186eba3c0c,13,1691
0x4ea5ca0eb9552b00e130f51a7564f1b3d748df74,16,500
0x1d5c30676ca03adae00257568b830c8d424a1e53,17,274
0xbae25a69a6eb7341ee834be7635e247e22a1e57a,19,528
0x32ad9262d631dbd492fe34f69e8e9504ef72f0a0,22,1510
0xc35a5fec6be6957899e15559be252db882220b37,23,610
0x043b0c22ed4df389e823f85fea30ad319967f12e,24,334
0x25f15d79487288cbcca6811b8148069ed581d992,26,5197
0x79dbffef464ab19111041650eb9c96da9510dce0,30,649
0x90d4ad2583add8f339af8fa67b642cb24a267413,32,776
0x48c94e8f4c0f0a125bed72e292c8dc84673e4dfc,33,686
0xa2ad13dc66adc74bcf9c36f353ffebf74f1d7978,35,597
0x1d7d947dc0e5be5c5898bd79fc95e59ba82cfc80,37,6982
0xd8a81496b289e7408e1dccbadc16d215cf769e5c,41,4122
0x22d1a32a0be51f71702f8f64c56e51c7560b2f4c,44,300
0x39bd97aefb5d77ae82e40071c0682fdf7428e437,45,932
0x11deec5102ccbefe460a0b328f145ce65920a0a2,47,3631
0x92e75270032c1ef9ba6842e8978a9c99adc2a365,48,14456
0x754f2d7fa80cf3cc148ad1678e408aa1f24a3f74,50,651
0x876758697dd56845a3ea59b4e2be3b9d13c04409,53,437
0x8880a4996cceb4a1ff063c0e606d0d60de05f492,55,588
0x3572305625698ab993609b112809058fa1d4512d,56,483
0x29ecaa773f052d14ec5258b352ee7304f57aabc3,57,387
0x8b1dcd225c5afb3aab4bb6b1042371274414853a,58,603
0xb1921d5971e72f7f0aa6bcf8a62285355992221c,59,1019
0x7af1b409687def212b13e8ac71828c21a12257c4,60,244
0xad4143ce31ac870a00aaa79c14bcc145db3ddb72,61,765
0x8de12bca6a79caf05ded82308f5b35ea9e230f17,62,257
