wallet,ei_seller,ei_buyer
0x8de12bca6a79caf05ded82308f5b35ea9e230f17,13,474
0x972e633f5f6f62d1f2a13977f113941fcb3b606b,20,197
0x02ff44f37ebd06827de528642aaa34bc94d2b478,24,527
0x22e871da7f626d3e9833961b8141df33baa71942,27,573
0xcf0e9b4746cfb97bae329fe5f696969f6564566a,35,952
0xb8c4a29a9a99aa8c17b91b3d1ef53e1426a7fc1f,36,1126
0x49512d4a133ecc97866e38e97f338b68f7a0fb3f,55,507
0xfc6f14650b714dd2ce74b37373e65b17dcb4384c,72,596
0xb05ffec0a215c056b28c20c7709d58559c97623a,74,3006
0xf3ed337358e57552317a77decca4ad48d0d128db,75,1174
0xa9de5c8c3389b54b28b367a1a3916323eada771a,79,574
0xe6c767ae3eb558373e9b9deadec80ee86299dcd4,82,3395
0x15d8a191caabda7eee2ccdb513f557575158c14e,84,5400
0xaed876b40c9309c3bd10c9a9351f67f28463fb25,93,3597
0x22d1a32a0be51f71702f8f64c56e51c7560b2f4c,96,394
0x883d7b93854aa0522a6f3341c44433ea86f48429,97,3659
0xf0b291120c4529ed51eb95e327c1604c10d548a1,98,490
0x73601fd195e1c6407e21845ed40b0c9d61c37ab1,103,803
0x4ad5e9404d04dc98061a853d9c842174894331d1,104,805
0x578ed904d0b713ba244b9ecff3d45160b3bc5d44,105,3829
0x302898307e76ba5a3aac9758f017c0d062d27c86,106,768
0xc4ef263abd38990d46f1b8d02fd906249a9ac1ba,108,766
0x35632b6976b5b6ec3f8d700fabb7e1e0499c1bfa,109,1084
0x65c060abbfb74fc5f3fc0066abf7a5f30151accc,117,4180
0xb37a00813366017005fef010a3e4e228e2218671,118,593
0x90a97d253608b2090326097a44ea289d172c30ec,122,4212
0xbf063e8b80f14d739cdcbe8ed232024ae24effa6,124,420
0x2399c26b25737c7201dfec270746b48b7f2dd645,125,4292
0x79d7ecb55161345ff4d6dadc7536117c5846c795,126,3836
0xcea8968d64b3cfaa0d8cd39424d9392dea17a446,130,1173
0xc0f030eac8b588817f8da16b9a2cdccc6451b25c,136,4074
0x12a153197402461aeee3694bd84a1972dd1e0b66,137,1072
